,Radio,Newspaper,adv_ID,Actress
0,37.8,69.2,1,No
1,39.3,45.1,2,Yes
2,45.9,69.3,3,No
3,41.3,58.5,4,No
4,10.8,58.4,5,No
5,48.9,75.0,6,No
6,32.8,23.5,7,No
7,19.6,11.6,8,Yes
8,2.1,1.0,9,No
9,2.6,21.2,10,Yes
10,5.8,24.2,11,No
11,24.0,4.0,12,No
12,35.1,65.9,13,Yes
13,7.6,7.2,14,No
14,32.9,46.0,15,No
15,47.7,52.9,16,Yes
16,36.6,114.0,17,Yes
17,39.6,55.8,18,No
18,20.5,18.3,19,No
19,23.9,19.1,20,Yes
20,27.7,53.4,21,Yes
21,5.1,23.5,22,Yes
22,15.9,49.6,23,No
23,16.9,26.2,24,No
24,12.6,18.3,25,Yes
25,3.5,19.5,26,No
26,29.3,12.6,27,No
27,16.7,22.9,28,No
28,27.1,22.9,29,No
29,16.0,40.8,30,No
30,28.3,43.2,31,No
31,17.4,38.6,32,Yes
32,1.5,30.0,33,No
33,20.0,0.3,34,Yes
34,1.4,7.4,35,Yes
35,4.1,8.5,36,No
36,43.8,5.0,37,No
37,49.4,45.7,38,No
38,26.7,35.1,39,No
39,37.7,32.0,40,Yes
40,22.3,31.6,41,Yes
41,33.4,38.7,42,Yes
42,27.7,1.8,43,No
43,8.4,26.4,44,Yes
44,25.7,43.3,45,No
45,22.5,31.5,46,Yes
46,9.9,35.7,47,Yes
47,41.5,18.5,48,No
48,15.8,49.9,49,No
49,11.7,36.8,50,Yes
50,3.1,34.6,51,No
51,9.6,3.6,52,No
52,41.7,39.6,53,No
53,46.2,58.7,54,Yes
54,28.8,15.9,55,Yes
55,49.4,60.0,56,No
56,28.1,41.4,57,No
57,19.2,16.6,58,No
58,49.6,37.7,59,Yes
59,29.5,9.3,60,No
60,2.0,21.4,61,No
61,42.7,54.7,62,No
62,15.5,27.3,63,No
63,29.6,8.4,64,Yes
64,42.8,28.9,65,No
65,9.3,0.9,66,Yes
66,24.6,2.2,67,No
67,14.5,10.2,68,No
68,27.5,11.0,69,Yes
69,43.9,27.2,70,Yes
70,30.6,38.7,71,Yes
71,14.3,31.7,72,Yes
72,33.0,19.3,73,Yes
73,5.7,31.3,74,Yes
74,24.6,13.1,75,Yes
75,43.7,89.4,76,No
76,1.6,20.7,77,No
77,28.5,14.2,78,Yes
78,29.9,9.4,79,No
79,7.7,23.1,80,No
80,26.7,22.3,81,Yes
81,4.1,36.9,82,Yes
82,20.3,32.5,83,Yes
83,44.5,35.6,84,No
84,43.0,33.8,85,Yes
85,18.4,65.7,86,Yes
86,27.5,16.0,87,Yes
87,40.6,63.2,88,Yes
88,25.5,73.4,89,Yes
89,47.8,51.4,90,Yes
90,4.9,9.3,91,Yes
91,1.5,33.0,92,No
92,33.5,59.0,93,Yes
93,36.5,72.3,94,Yes
94,14.0,10.9,95,No
95,31.6,52.9,96,Yes
96,3.5,5.9,97,No
97,21.0,22.0,98,No
98,42.3,51.2,99,Yes
99,41.7,45.9,100,Yes
100,4.3,49.8,101,Yes
101,36.3,100.9,102,Yes
102,10.1,21.4,103,No
103,17.2,17.9,104,No
104,34.3,5.3,105,Yes
105,46.4,59.0,106,No
106,11.0,29.7,107,No
107,0.3,23.2,108,Yes
108,0.4,25.6,109,Yes
109,26.9,5.5,110,No
110,8.2,56.5,111,No
111,38.0,23.2,112,No
112,15.4,2.4,113,Yes
113,20.6,10.7,114,Yes
114,46.8,34.5,115,No
115,35.0,52.7,116,No
116,14.3,25.6,117,No
117,0.8,14.8,118,Yes
118,36.9,79.2,119,No
119,16.0,22.3,120,Yes
120,26.8,46.2,121,No
121,21.7,50.4,122,Yes
122,2.4,15.6,123,Yes
123,34.6,12.4,124,Yes
124,32.3,74.2,125,No
125,11.8,25.9,126,Yes
126,38.9,50.6,127,No
127,0.0,9.2,128,Yes
128,49.0,3.2,129,Yes
129,12.0,43.1,130,Yes
130,39.6,8.7,131,Yes
131,2.9,43.0,132,Yes
132,27.2,2.1,133,Yes
133,33.5,45.1,134,No
134,38.6,65.6,135,Yes
135,47.0,8.5,136,Yes
136,39.0,9.3,137,No
137,28.9,59.7,138,No
138,25.9,20.5,139,Yes
139,43.9,1.7,140,Yes
140,17.0,12.9,141,No
141,35.4,75.6,142,Yes
142,33.2,37.9,143,Yes
143,5.7,34.4,144,No
144,14.8,38.9,145,Yes
145,1.9,9.0,146,Yes
146,7.3,8.7,147,No
147,49.0,44.3,148,No
148,40.3,11.9,149,No
149,25.8,20.6,150,No
150,13.9,37.0,151,No
151,8.4,48.7,152,Yes
152,23.3,14.2,153,Yes
153,39.7,37.7,154,No
154,21.1,9.5,155,No
155,11.6,5.7,156,No
156,43.5,50.5,157,Yes
157,1.3,24.3,158,Yes
158,36.9,45.2,159,No
159,18.4,34.6,160,Yes
160,18.1,30.7,161,No
161,35.8,49.3,162,No
162,18.1,25.6,163,No
163,36.8,7.4,164,No
164,14.7,5.4,165,Yes
165,3.4,84.8,166,Yes
166,37.6,21.6,167,Yes
167,5.2,19.4,168,No
168,23.6,57.6,169,No
169,10.6,6.4,170,Yes
170,11.6,18.4,171,No
171,20.9,47.4,172,No
172,20.1,17.0,173,Yes
173,7.1,12.8,174,Yes
174,3.4,13.1,175,No
175,48.9,41.8,176,No
176,30.2,20.3,177,Yes
177,7.8,35.2,178,Yes
178,2.3,23.7,179,Yes
179,10.0,17.6,180,Yes
180,2.6,8.3,181,Yes
181,5.4,27.4,182,Yes
182,5.7,29.7,183,Yes
183,43.0,71.8,184,No
184,21.3,30.0,185,Yes
185,45.1,19.6,186,Yes
186,2.1,26.6,187,No
187,28.7,18.2,188,No
188,13.9,3.7,189,No
189,12.1,23.4,190,No
190,41.1,5.8,191,Yes
191,10.8,6.0,192,Yes
192,4.1,31.6,193,Yes
193,42.0,3.6,194,No
194,35.6,6.0,195,Yes
195,3.7,13.8,196,No
196,4.9,8.1,197,No
197,9.3,6.4,198,No
198,42.0,66.2,199,No
199,8.6,8.7,200,No
